state,alabama,alaska,arizona,arkansas,california,colorado,connecticut,DC,delaware,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new_hampshire,new_jersey,new_mexico,new_york,north_carolina,north_dakota,ohio,oklahoma,oregon,pennsylvania,rhode_island,south_carolina,south_dakota,tennessee,texas,utah,vermont,virginia,washington,west_virginia,wisconsin,wyoming,us_avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Jan,2.7,6,4.5,3.5,3.9,2.5,3.7,5.2,4,2.8,3.1,2.7,2.8,3.5,3.1,2.8,3.1,4.3,5.3,3.1,3.3,2.8,3.8,3.2,5.5,3.5,3.5,2.9,3.6,2.6,3.8,4.8,3.8,3.6,2.3,4.1,3.3,3.3,4.7,3.4,2.4,3.4,3.3,3.5,2.5,2.4,2.7,3.9,5,3.5,3.7,3.543137255,-0.997661017,2.907137801,1.132229247,-0.051043122,0.422265826,-1.234315491,0.185611352,1.960519906,0.540593063,-0.87933378,-0.52435207,-0.997661017,-0.87933378,-0.051043122,-0.52435207,-0.87933378,-0.52435207,0.895574773,2.078847143,-0.52435207,-0.287697596,-0.87933378,0.303938589,-0.406024833,2.315501617,-0.051043122,-0.051043122,-0.761006543,0.067284115,-1.115988254,0.303938589,1.487210958,0.303938589,0.067284115,-1.470969965,0.6589203,-0.287697596,-0.287697596,1.368883721,-0.169370359,-1.352642728,-0.169370359,-0.287697596,-0.051043122,-1.234315491,-1.352642728,-0.997661017,0.422265826,1.723865432,-0.051043122,0.185611352
Feb,2.7,5.8,4.5,3.5,3.9,2.5,3.8,5.1,3.9,2.8,3.1,2.7,2.7,3.4,3.1,2.8,3.1,4.2,5.2,3.2,3.3,2.8,3.6,3.1,5.4,3.5,3.5,2.9,3.6,2.6,3.8,4.8,3.7,3.6,2.2,4.1,3.2,3.3,4.7,3.4,2.5,3.3,3.4,3.5,2.5,2.4,2.6,3.8,4.9,3.5,3.7,3.51372549,-0.993391678,2.791071559,1.204038589,-0.016756004,0.471561833,-1.237550597,0.349482374,1.936515344,0.471561833,-0.871312219,-0.505073841,-0.993391678,-0.993391678,-0.138835463,-0.505073841,-0.871312219,-0.505073841,0.837800211,2.058594804,-0.382994382,-0.260914923,-0.871312219,0.105323455,-0.505073841,2.302753722,-0.016756004,-0.016756004,-0.74923276,0.105323455,-1.115471137,0.349482374,1.570276967,0.227402915,0.105323455,-1.603788974,0.715720752,-0.382994382,-0.260914923,1.448197507,-0.138835463,-1.237550597,-0.260914923,-0.138835463,-0.016756004,-1.237550597,-1.359630056,-1.115471137,0.349482374,1.692356426,-0.016756004,0.227402915
Mar,3,5.2,6.1,5,5.5,5.2,3.4,6,5,4.4,4.6,2.4,2.5,4.2,3,3.3,2.8,5.2,6.7,3,3.3,2.8,4.3,2.9,5.1,3.9,3.6,4,6.9,2.4,3.7,6.3,4.1,4.3,2,5.8,2.9,3.5,5.8,4.7,3.2,3.1,3.3,5.1,3.8,3.1,3.3,5.1,6,3.1,3.8,4.150980392,-0.931842296,0.849294086,1.577940789,0.687372597,1.09217632,0.849294086,-0.607999318,1.496980044,0.687372597,0.201608129,0.363529618,-1.417606764,-1.33664602,0.03968664,-0.931842296,-0.688960062,-1.093763786,0.849294086,2.063705257,-0.931842296,-0.688960062,-1.093763786,0.120647384,-1.012803041,0.768333342,-0.203195594,-0.446077828,-0.12223485,2.225626746,-1.417606764,-0.365117084,1.739862278,-0.041274105,0.120647384,-1.741449743,1.335058554,-1.012803041,-0.527038573,1.335058554,0.444490363,-0.769920807,-0.850881552,-0.688960062,0.768333342,-0.284156339,-0.850881552,-0.688960062,0.768333342,1.496980044,-0.850881552,-0.284156339
Apr,13.8,13.5,13.4,10.8,16.4,12.2,8.3,11.7,14.9,13.8,12.6,23.8,11.8,17.2,17.5,11,11.9,16.6,15.1,10.4,10.1,16.2,24,8.7,16.3,10.2,11.9,8.7,30.1,17.1,16.3,11.9,15.3,12.9,9.1,17.6,14.7,14.9,16.1,18.1,12.8,10.9,15.5,13.5,10.4,16.5,11.2,16.3,15.9,13.6,9.6,14.17843137,-0.093984141,-0.168489705,-0.193324893,-0.839039776,0.551730742,-0.491347147,-1.459919471,-0.615523086,0.179202924,-0.093984141,-0.392006395,2.38953464,-0.590687898,0.750412244,0.824917808,-0.7893694,-0.56585271,0.601401117,0.2288733,-0.938380527,-1.012886091,0.502060366,2.439205016,-1.36057872,0.526895554,-0.988050903,-0.56585271,-1.36057872,3.954151473,0.725577056,0.526895554,-0.56585271,0.278543676,-0.317500832,-1.261237969,0.849752996,0.129532549,0.179202924,0.477225178,0.973928935,-0.34233602,-0.814204588,0.328214051,-0.168489705,-0.938380527,0.57656593,-0.739699025,0.526895554,0.427554803,-0.143654517,-1.13706203
May,9.6,12.7,9,9.6,16.4,10.2,9.6,8.8,15.9,13.7,9.4,23.5,9,15.3,12.3,10.2,10,10.9,14.2,9.4,10,16.6,21.3,9.9,10.5,10.1,9,5.3,25.3,15.4,15.4,9.1,14.5,12.8,9.1,13.9,12.6,14.3,13.4,16.4,12.4,9.4,11,13,8.6,12.8,9,15.1,12.9,12.1,8.8,12.34705882,-0.725343604,0.093191899,-0.883769831,-0.725343604,1.070153628,-0.566917378,-0.725343604,-0.936578573,0.938131773,0.35723561,-0.778152346,2.944863974,-0.883769831,0.779705547,-0.012425585,-0.566917378,-0.61972612,-0.38208678,0.489257465,-0.778152346,-0.61972612,1.122962371,2.363967811,-0.646130491,-0.487704265,-0.593321749,-0.883769831,-1.86073156,3.420142654,0.806109918,0.806109918,-0.85736546,0.568470578,0.11959627,-0.85736546,0.410044352,0.066787528,0.515661836,0.278022496,1.070153628,0.013978786,-0.778152346,-0.355682409,0.172405012,-0.989387315,0.11959627,-0.883769831,0.726896804,0.146000641,-0.065234328,-0.936578573
Jun,7.6,12.4,10,8.1,14.9,10.6,10.1,8.7,12.6,10.3,7.6,13.4,5.8,14.5,11.1,8.4,7.5,4.4,9.5,6.7,8.3,17.7,14.9,8.6,8.8,7.8,7.2,5.5,15.2,9.2,16.8,8.4,15.6,7.5,7.4,11,6.4,11.6,13.2,12.6,8.7,7.2,9.6,8.4,5.3,9.5,8.1,10,10.5,8.6,7.6,9.831372549,-0.729324167,0.839555939,0.055115886,-0.565899156,1.656680994,0.251225899,0.087800888,-0.369789142,0.904925943,0.153170893,-0.729324167,1.166405961,-1.317654206,1.525940985,0.41465091,-0.467844149,-0.762009169,-1.775244237,-0.108309125,-1.023489186,-0.500529151,2.571861055,1.656680994,-0.402474145,-0.33710414,-0.663954162,-0.860064175,-1.415709213,1.754736,-0.206364132,2.277696035,-0.467844149,1.885476009,-0.762009169,-0.794694171,0.381965908,-1.121544193,0.578075921,1.101035956,0.904925943,-0.369789142,-0.860064175,-0.075624123,-0.467844149,-1.481079217,-0.108309125,-0.565899156,0.055115886,0.218540897,-0.402474145,-0.729324167
Jul,7.9,11.6,10.7,7.1,13.5,7.4,10.2,8.5,10.5,11.4,7.6,13.5,5.1,11.5,7.9,6.8,7.2,4.5,9.4,9.9,7.8,16.2,8.7,7.6,9.4,6.9,6.5,4.9,14.2,8,14.2,12.7,15.9,8.5,6.6,9,7.1,10.4,12.5,11.3,8.7,6.4,9.7,8,4.5,8.3,7.9,10.2,10,7.1,7.1,9.18627451,-0.466460238,0.875324013,0.54894406,-0.756575752,1.564348358,-0.647782434,0.367621864,-0.248873603,0.476415182,0.802795135,-0.575253556,1.564348358,-1.481864536,0.839059574,-0.466460238,-0.865369069,-0.720311312,-1.699451171,0.07750635,0.258828547,-0.502724677,2.543488217,-0.176344724,-0.575253556,0.07750635,-0.82910463,-0.974162387,-1.554393415,1.818199433,-0.430195799,1.818199433,1.274232845,2.4346949,-0.248873603,-0.937897948,-0.067551406,-0.756575752,0.440150743,1.201703966,0.766530696,-0.176344724,-1.010426826,0.186299668,-0.430195799,-1.699451171,-0.321402481,-0.466460238,0.367621864,0.295092986,-0.756575752,-0.756575752
Aug,5.6,7.4,5.9,7.4,11.2,6.7,8.1,8.6,8.9,7.3,5.7,13,4.2,11,6.4,6.3,6.9,7.5,7.7,7,7,11.4,8.7,7.4,7.8,7,5.8,4,13.3,6.6,11.1,11.4,12.5,6.5,5,8.9,5.7,8.5,10.4,12.9,6.4,4.8,8.6,6.8,4.1,4.8,6.1,8.4,8.9,6.3,6.6,7.774509804,-0.916276126,-0.157807701,-0.789864721,-0.157807701,1.443403419,-0.452767644,0.137152242,0.347837916,0.47424932,-0.199944835,-0.874138991,2.201871844,-1.506196012,1.359129149,-0.579179048,-0.621316183,-0.368493374,-0.115670566,-0.031396296,-0.32635624,-0.32635624,1.527677688,0.389975051,-0.157807701,0.010740838,-0.32635624,-0.832001856,-1.590470281,2.328283248,-0.494904778,1.401266284,1.527677688,1.99118617,-0.537041913,-1.169098934,0.47424932,-0.874138991,0.305700781,1.106306341,2.159734709,-0.579179048,-1.253373203,0.347837916,-0.410630509,-1.548333146,-1.253373203,-0.705590452,0.263563647,0.47424932,-0.621316183,-0.494904778
Sep,6.7,7.2,6.5,7.2,11.1,6.4,7.7,9,8.3,7.2,6.3,15,6.1,10.4,6.3,4.8,5.9,5.6,8,6.1,7.6,9.8,8.6,5.9,7.2,4.8,5.4,3.6,12.5,5.8,6.7,9.9,9.7,7.2,4.4,8.3,5.4,7.9,8.3,10.5,5.2,4.1,6.5,8.3,5,4.3,6.2,8.3,8.6,5.4,6.1,7.241176471,-0.246708204,-0.018771277,-0.337882975,-0.018771277,1.759136759,-0.383470361,0.209165651,0.801801663,0.482689964,-0.018771277,-0.429057746,3.537044795,-0.520232517,1.44002506,-0.429057746,-1.112868529,-0.611407288,-0.748169445,0.345927808,-0.520232517,0.163578266,1.166500747,0.619452121,-0.611407288,-0.018771277,-1.112868529,-0.839344216,-1.659917156,2.397360156,-0.656994674,-0.246708204,1.212088133,1.120913362,-0.018771277,-1.295218071,0.482689964,-0.839344216,0.300340422,0.482689964,1.485612446,-0.930518987,-1.431980228,-0.337882975,0.482689964,-1.021693758,-1.340805457,-0.474645132,0.482689964,0.619452121,-0.839344216,-0.520232517
Oct,5.7,5.9,7.9,6.2,9,6.4,6.1,8.3,5.6,6.4,4.5,14.2,5.5,7.4,5.5,3.7,5,7.3,9.4,5.4,7.7,7.4,6.1,4.6,7.4,4.6,5,3,11.9,4.2,8,8.1,9.2,6.2,4.7,6.1,6.2,6.8,7.4,7.1,4.2,3.7,7.3,6.9,4.1,3.2,5.2,6,6.4,6,5.5,6.384313725,-0.337710274,-0.23900985,0.74799439,-0.090959214,1.290846723,0.00774121,-0.140309426,0.945395238,-0.387060486,0.00774121,-0.929912818,3.857057748,-0.436410698,0.50124333,-0.436410698,-1.324714515,-0.683161758,0.451893118,1.488247571,-0.48576091,0.649293966,0.50124333,-0.140309426,-0.880562606,0.50124333,-0.880562606,-0.683161758,-1.670165999,2.722002871,-1.077963455,0.797344602,0.846694814,1.389547147,-0.090959214,-0.831212394,-0.140309426,-0.090959214,0.205142058,0.50124333,0.353192694,-1.077963455,-1.324714515,0.451893118,0.25449227,-1.127313667,-1.571465575,-0.584461334,-0.189659638,0.00774121,-0.189659638,-0.436410698
Nov,4.4,6.3,8,6.3,8.1,6.4,8.2,7.5,5.1,6.3,5.7,10.4,4.9,6.9,5.1,3.8,5.1,5.7,8.5,4.9,6.8,6.7,7,4.5,6.3,4.5,4.6,3,10.4,3.9,10.2,7.2,8.4,6.2,4.5,5.7,6.1,6,6.8,7.3,4.4,3.5,5.2,8.1,4.3,3,4.8,5.7,6.3,5.3,5.1,6.066666667,-0.958395389,0.134175354,1.11173865,0.134175354,1.169242374,0.191679077,1.226746097,0.824220034,-0.555869325,0.134175354,-0.210846986,2.491828009,-0.670876772,0.479197694,-0.555869325,-1.303417728,-0.555869325,-0.210846986,1.399257267,-0.670876772,0.421693971,0.364190247,0.536701417,-0.900891665,0.134175354,-0.900891665,-0.843387942,-1.763447515,2.491828009,-1.245914005,2.376820563,0.651708864,1.341753543,0.076671631,-0.900891665,-0.210846986,0.019167908,-0.038335816,0.421693971,0.709212587,-0.958395389,-1.475928898,-0.498365602,1.169242374,-1.015899112,-1.763447515,-0.728380495,-0.210846986,0.134175354,-0.440861879,-0.555869325
Dec,3.9,5.8,7.5,4.2,9,8.4,8,7.9,5.3,6.1,5.6,9.3,4.4,7.6,4.3,3.1,3.8,6,7.2,4.9,6.3,7.4,7.5,4.4,6.2,5.8,4.4,3,9.2,4,7.6,8.2,8.2,6.2,4.1,5.5,5.3,6.4,6.7,8.1,4.6,3,6.4,7.2,3.6,3.1,4.9,7.1,6.3,5.5,4.8,5.947058824,-1.181919949,-0.084908043,0.896628927,-1.008707543,1.762690958,1.416266145,1.18531627,1.127578802,-0.373595386,0.088304364,-0.20038298,1.935903364,-0.893232605,0.954366395,-0.950970074,-1.643819699,-1.239657418,0.030566895,0.72341652,-0.604545262,0.203779301,0.838891458,0.896628927,-0.893232605,0.146041833,-0.084908043,-0.893232605,-1.701557168,1.878165896,-1.12418248,0.954366395,1.300791208,1.300791208,0.146041833,-1.066445012,-0.258120449,-0.373595386,0.26151677,0.434729176,1.243053739,-0.777757668,-1.701557168,0.26151677,0.72341652,-1.355132356,-1.643819699,-0.604545262,0.665679051,0.203779301,-0.258120449,-0.66228273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,alabama,alaska,arizona,arkansas,california,colorado,connecticut,DC,delaware,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new_hampshire,new_jersey,new_mexico,new_york,north_carolina,north_dakota,ohio,oklahoma,oregon,pennsylvania,rhode_island,south_carolina,south_dakota,tennessee,texas,utah,vermont,virginia,washington,west_virginia,wisconsin,wyoming,us_avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
